iter	Accuracy	Logloss
0	0.7972891566	0.668556752711	0.8207831325	0.640504321822	0.8301204819	0.617354306333	0.8370481928	0.5943855374	4	0.8334337349	0.578817917555	0.8394578313	0.5577484016	6	0.8397590361	0.543288407	07	0.8358433735	0.53244668	0.8	0.8370481928	0.51818839	0.9	0.8427710843	0.502933910	10	0.8436746988	0.4914862111	11	0.846686747	0.480817191212	0.8354926183	0.4788946413	113	0.8448795181	0.46440311414	0.8400120518	0.4625327321515	0.8418198252	0.4540553371616	0.8445314854	0.4459188611717	0.8466405544	0.4396491581818	0.8478457367	0.4355430191919	0.8487496234	0.4320022102020	0.8514612835	0.4256781562121	0.8502561012	0.4212985952222	0.8523651702	0.4159799823	23	0.8529677614	0.41233924	0.24	0.8541729437	0.4086425	0.825	0.8547755348	0.4058326	0.826	0.8550768304	0.4010027	0.827	0.8559807171	0.3984728	0.828	0.8580897861	0.3918629	0.829	0.8592949684	0.3869830	0.830	0.8598975595	0.3830631	0.831	0.8601988551	0.3803532	0.832	0.8611027418	0.3769633	0.833	0.8614040374	0.3740934	0.834	0.8620066285	0.3727935	0.35	0.8620066285	0.37032436	0.36	0.8629105152	0.3676037	0.837	0.8629105152	0.3655738	0.838	0.8647182886	0.3636739	0.839	0.8656221754	0.3617740	0.840	0.8674299488	0.3596941	0.841	0.8668273576	0.358542	0.8642	0.8677312444	0.356743	0.8650195842	0.3623394394
44	0.8674299488	0.359322538
45	0.8680325399	0.3569704458
46	0.8698403133	0.3551297038
47	0.8707442001	0.3534364617
48	0.8722506779	0.3512767988449	0.8716480868	0.3500531557550	0.8728532691	0.3477741142551	0.8734558602	0.3469153497552	0.8737571558	0.3450523826553	0.8737571558	0.3435693445454	0.8737571558	0.341654806555	0.8746610425	0.33963925
56	0.8755649292	0.3382613582
57	0.8764688159	0.3372718764
58	0.8767701115	0.3358097539
59	0.8755649292	0.3343288918
60	0.8761675203	0.3330194114
61	0.8776739982	0.3320081284
62	0.8776739982	0.3303853018
63	0.8776739982	0.3293509407
64	0.8788791805	0.3270101924
65	0.879180476	0.3251677843
66	0.8788791805	0.3232893822
67	0.8806869539	0.3220515482
68	0.8806869539	0.3210617166669	0.8818921362	0.3198393984770	0.8827960229	0.319019169271	0.8861102742	0.317799558
7272	0.8827960229	0.3162878277373	0.883398614	0.3154951972774	0.8852063875	0.3136600447575	0.8864115697	0.3117708247676	0.887616752	0.3104840687777	0.8870141609	0.3084433797878	0.8888219343	0.307034379	079	0.8900271166	0.305451780	080	0.8906297077	0.304571081	081	0.8903284122	0.303916982	082	0.8927387767	0.302560283	083	0.8924374812	0.30173084	0.84	0.893943959	0.301013585	085	0.8948478457	0.29976186	0.86	0.896053028	0.298273087	087	0.896053028	0.2970603588	88	0.8966556192	0.2963733789	89	0.8966556192	0.2945677790	90	0.8975595059	0.2930272091	91	0.8975595059	0.2923254992	92	0.8984633926	0.291636493	093	0.8984633926	0.290470094	094	0.8984633926	0.289147995	95	0.8984633926	0.2883118596	96	0.8978608014	0.2867736997	97	0.8987646882	0.286209598	098	0.898	0.9020789394	0.299	099	0.8999698704	0.2840316100	100	0.9005724616	0.2830631101	101	0.9014763483	0.282234102	0102	0.9020789394	0.279980103	0103	0.9014763483	0.278818104104	0.9020789394	0.27821891105	0.9047905996	0.2787439295
106	0.9059957819	0.277531555
107	0.9068996686	0.276721495
108	0.906598373	0.2758358825
109	0.9075022597	0.27472006
110	0.9072009641	0.2731203468
111	0.9081048509	0.272468965
112	0.9096113287	0.2713533634
113	0.9099126243	0.2706484
114	0.9102139199	0.2692947562
115	0.9102139199	0.2687360034
116	0.9111178066	0.2678807793
117	0.9120216933	0.2668551903
118	0.9126242844	0.2655015722
119	0.9135281711	0.2648669767
120	0.9141307623	0.2641552022
121	0.9141307623	0.2636358188
122	0.9147333534	0.2626557007
123	0.9147333534	0.2620872321
124	0.915034649	0.261513751
125	0.9144320578	0.2606968997
126	0.9159385357	0.2593643651
127	0.9162398313	0.2581913121
128	0.9165411268	0.257333455
129	0.917143718	0.2565362118
130	0.917143718	0.255712001
131	0.9174450136	0.2548300117
